Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message
826075,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2021-22,2021-12-01,15.70203388,No Message
170430,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307,Sunset Park (CD7),Annual Average 2013,2012-12-01,9.18,No Message
410984,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,107,Upper West Side (CD7),Winter 2015-16,2015-12-01,8.85,No Message
742558,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Winter 2020-21,2020-12-01,6.33109299,No Message
169393,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Summer 2010,2010-06-01,10.74,No Message
169452,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Summer 2011,2011-06-01,10.59,No Message
166856,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2012,2012-06-01,8.11,No Message
166915,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2013,2013-06-01,7.88,No Message
213253,375,Nitrogen dioxide (NO2),Mean,ppb,CD,307,Sunset Park (CD7),Winter 2013-14,2013-12-01,27.81,No Message
643639,375,Nitrogen dioxide (NO2),Mean,ppb,CD,307,Sunset Park (CD7),Annual Average 2019,2019-01-01,18.52,No Message
603046,375,Nitrogen dioxide (NO2),Mean,ppb,CD,314,Flatbush and Midwood (CD14),Winter 2017-18,2017-12-01,23.47,No Message
643693,375,Nitrogen dioxide (NO2),Mean,ppb,CD,407,Flushing and Whitestone (CD7),Annual Average 2019,2019-01-01,16.27,No Message
825830,375,Nitrogen dioxide (NO2),Mean,ppb,CD,107,Upper West Side (CD7),Annual Average 2022,2022-01-01,18.1703003,No Message
603100,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2017-18,2017-12-01,14.31,No Message
643714,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2019,2019-01-01,9.94,No Message
826077,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2022,2022-01-01,11.36047467,No Message
165794,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2008-09,2008-12-01,20.89,No Message
213278,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2013-14,2013-12-01,22.58,No Message
411022,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),Annual Average 2016,2015-12-31,7.78,No Message
169545,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307,Sunset Park (CD7),Summer 2013,2013-06-01,10.7,No Message
170455,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2013,2012-12-01,7.61,No Message
742560,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2021,2021-01-01,5.918832207,No Message
547765,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2017,2017-01-01,6.32,No Message
168567,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Winter 2010-11,2010-12-01,10.28,No Message
169334,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Summer 2009,2009-06-01,9.6,No Message
643640,375,Nitrogen dioxide (NO2),Mean,ppb,CD,307,Sunset Park (CD7),Summer 2019,2019-06-01,16.22,No Message
336866,375,Nitrogen dioxide (NO2),Mean,ppb,CD,407,Flushing and Whitestone (CD7),Summer 2015,2015-06-01,14.4,No Message
667808,375,Nitrogen dioxide (NO2),Mean,ppb,CD,407,Flushing and Whitestone (CD7),Winter 2019-20,2019-12-01,22.99,No Message
823206,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,107,Upper West Side (CD7),Winter 2021-22,2021-12-01,6.790552345,No Message
606059,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2018,2018-01-01,6.06,No Message
742559,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Summer 2021,2021-06-01,7.248801127,No Message
823566,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Winter 2021-22,2021-12-01,5.964648061,No Message
169570,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Summer 2013,2013-06-01,9.44,No Message
169511,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Summer 2012,2012-06-01,9.41,No Message
411112,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,407,Flushing and Whitestone (CD7),Annual Average 2016,2015-12-31,7.26,No Message
667850,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2019-20,2019-12-01,17.49,No Message
643715,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2019,2019-06-01,7.22,No Message
877256,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2023,2023-01-01,9.361544124,No Message
877258,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2022-23,2022-12-01,11.87774283,No Message
166030,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2012-13,2012-12-01,18.77,No Message
167623,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2010,2009-12-01,13.95,No Message
176652,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Annual Average 2012,2011-12-01,23.43,No Message
176676,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504,South Beach - Tottenville,Annual Average 2012,2011-12-01,12.47,No Message
825979,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504,South Beach - Tottenville,Summer 2022,2022-06-01,6.854871982,No Message
741094,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409,Southeast Queens,Winter 2020-21,2020-12-01,19.77780206,No Message
213607,375,Nitrogen dioxide (NO2),Mean,ppb,CD,307,Sunset Park (CD7),Annual Average 2014,2013-12-01,20.33,No Message
213784,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307,Sunset Park (CD7),Winter 2013-14,2013-12-01,12.62,No Message
823204,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,107,Upper West Side (CD7),Annual Average 2022,2022-01-01,6.101604201,No Message
213809,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Winter 2013-14,2013-12-01,9.87,No Message
606061,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Winter 2017-18,2017-12-01,7.0,No Message
650059,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2019,2019-01-01,5.59,No Message
823568,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2022,2022-01-01,5.024423733,No Message
667809,375,Nitrogen dioxide (NO2),Mean,ppb,CD,407,Flushing and Whitestone (CD7),Summer 2020,2020-06-01,11.06,No Message
172094,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409,Southeast Queens,Summer 2009,2009-06-01,16.05,No Message
336693,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409,Southeast Queens,Winter 2014-15,2014-12-01,22.67,No Message
549977,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2017,2017-01-01,17.2,No Message
741111,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2021,2021-01-01,14.30918095,No Message
172099,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2009,2009-06-01,17.8,No Message
172745,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2013,2012-12-01,17.46,No Message
171657,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2010-11,2010-12-01,27.47,No Message
336708,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2014-15,2014-12-01,23.0,No Message
412520,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404,Bayside - Little Neck,Winter 2015-16,2015-12-01,20.9,No Message
412521,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404,Bayside - Little Neck,Summer 2016,2016-06-01,12.73,No Message
172196,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409,Southeast Queens,Summer 2012,2012-06-01,14.32,No Message
172230,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409,Southeast Queens,Summer 2013,2013-06-01,14.59,No Message
602903,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409,Southeast Queens,Annual Average 2018,2018-01-01,16.22,No Message
825880,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409,Southeast Queens,Winter 2021-22,2021-12-01,18.59771003,No Message
602918,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2018,2018-01-01,16.4,No Message
825865,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2021-22,2021-12-01,19.88914473,No Message
172201,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2012,2012-06-01,15.41,No Message
172235,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2013,2013-06-01,15.0,No Message
412645,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2016,2015-12-31,17.1,No Message
740987,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404,Bayside - Little Neck,Summer 2021,2021-06-01,9.969849112,No Message
412438,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,104,Pelham - Throgs Neck,Annual Average 2016,2015-12-31,17.92,No Message
176046,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504,South Beach - Tottenville,Summer 2012,2012-06-01,8.15,No Message
550106,375,Nitrogen dioxide (NO2),Mean,ppb,CD,315,Sheepshead Bay (CD15),Annual Average 2017,2017-01-01,16.39,No Message
166778,375,Nitrogen dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Summer 2011,2011-06-01,12.93,No Message
826338,375,Nitrogen dioxide (NO2),Mean,ppb,CD,315,Sheepshead Bay (CD15),Winter 2021-22,2021-12-01,19.05259378,No Message
550154,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Annual Average 2017,2017-01-01,16.49,No Message
741288,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Annual Average 2021,2021-01-01,14.62480522,No Message
603095,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Annual Average 2018,2018-01-01,16.26,No Message
741287,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Summer 2021,2021-06-01,10.40210304,No Message
547714,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,315,Sheepshead Bay (CD15),Annual Average 2017,2017-01-01,6.85,No Message
411129,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,413,Queens Village (CD13),Summer 2016,2016-06-01,7.08,No Message
742555,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,413,Queens Village (CD13),Winter 2020-21,2020-12-01,6.621152709,No Message
826072,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Winter 2021-22,2021-12-01,18.77722805,No Message
603049,375,Nitrogen dioxide (NO2),Mean,ppb,CD,315,Sheepshead Bay (CD15),Winter 2017-18,2017-12-01,19.88,No Message
826074,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Annual Average 2022,2022-01-01,14.27800685,No Message
643711,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Annual Average 2019,2019-01-01,14.55,No Message
603097,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Winter 2017-18,2017-12-01,21.61,No Message
334347,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,413,Queens Village (CD13),Winter 2014-15,2014-12-01,8.23,No Message
547762,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,413,Queens Village (CD13),Annual Average 2017,2017-01-01,6.77,No Message
742557,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,413,Queens Village (CD13),Annual Average 2021,2021-01-01,6.338519067,No Message
877201,375,Nitrogen dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2022-23,2022-12-01,18.02621754,No Message
877199,375,Nitrogen dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Annual Average 2023,2023-01-01,13.49860962,No Message
411130,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,413,Queens Village (CD13),Annual Average 2016,2015-12-31,6.53,No Message
606056,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,413,Queens Village (CD13),Annual Average 2018,2018-01-01,6.44,No Message
823563,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,413,Queens Village (CD13),Winter 2021-22,2021-12-01,6.442329619,No Message
742556,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,413,Queens Village (CD13),Summer 2021,2021-06-01,7.801814418,No Message
336884,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Summer 2015,2015-06-01,12.07,No Message
643712,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Summer 2019,2019-06-01,13.03,No Message
667844,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Winter 2019-20,2019-12-01,20.17,No Message
877255,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Winter 2022-23,2022-12-01,17.795487,No Message
877253,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Annual Average 2023,2023-01-01,14.84317832,No Message
172136,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,105106107,South Bronx,Summer 2010,2010-06-01,22.13,No Message
741091,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408,Jamaica,Winter 2020-21,2020-12-01,20.87859767,No Message
650002,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,313,Coney Island (CD13),Annual Average 2019,2019-01-01,5.98,No Message
650008,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,315,Sheepshead Bay (CD15),Annual Average 2019,2019-01-01,6.07,No Message
176088,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504,South Beach - Tottenville,Summer 2013,2013-06-01,7.62,No Message
168449,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Winter 2008-09,2008-12-01,10.19,No Message
649985,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307,Sunset Park (CD7),Summer 2019,2019-06-01,8.9,No Message
178535,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,Annual Average 2012,2011-12-01,8.94,No Message
178542,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Annual Average 2012,2011-12-01,9.7,No Message
178556,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404,Bayside - Little Neck,Annual Average 2012,2011-12-01,8.55,No Message
178566,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,504,South Beach - Tottenville,Annual Average 2012,2011-12-01,8.28,No Message
179786,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,211,Williamsburg - Bushwick,2015,2015-01-01,0.3,No Message
177233,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,Winter 2010-11,2010-12-01,11.75,No Message
177779,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,Summer 2009,2009-06-01,10.08,No Message
177240,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Winter 2010-11,2010-12-01,14.57,No Message
177786,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Summer 2009,2009-06-01,12.74,No Message
178584,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Annual Average 2013,2012-12-01,9.36,No Message
547432,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304,Upper West Side,Annual Average 2017,2017-01-01,8.33,No Message
177800,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404,Bayside - Little Neck,Summer 2009,2009-06-01,9.87,No Message
178598,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404,Bayside - Little Neck,Annual Average 2013,2012-12-01,8.08,No Message
742257,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404,Bayside - Little Neck,Annual Average 2021,2021-01-01,6.290971464,No Message
742378,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2020-21,2020-12-01,6.407498086,No Message
173663,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2010,2010-06-01,11.31,No Message
173697,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2011,2011-06-01,11.04,No Message
410952,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2016,2016-06-01,7.47,No Message
410951,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2015-16,2015-12-01,7.43,No Message
874806,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,314,Flatbush and Midwood (CD14),Annual Average 2023,2023-01-01,6.529592865,No Message
214138,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307,Sunset Park (CD7),Annual Average 2014,2013-12-01,9.7,No Message
334327,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,407,Flushing and Whitestone (CD7),Annual Average 2015,2015-01-01,8.48,No Message
213961,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307,Sunset Park (CD7),Summer 2014,2014-06-01,9.55,No Message
649986,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307,Sunset Park (CD7),Winter 2018-19,2018-12-01,8.02,No Message
130428,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,404,Bayside - Little Neck,2013,2013-01-01,1.6,No Message
176718,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504,South Beach - Tottenville,Annual Average 2013,2012-12-01,11.51,No Message
175374,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504,South Beach - Tottenville,Winter 2010-11,2010-12-01,20.56,No Message
175920,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504,South Beach - Tottenville,Summer 2009,2009-06-01,10.8,No Message
177863,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,Summer 2011,2011-06-01,10.9,No Message
823517,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,315,Sheepshead Bay (CD15),Annual Average 2022,2022-01-01,5.389991444,No Message
606058,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,413,Queens Village (CD13),Winter 2017-18,2017-12-01,7.47,No Message
165952,375,Nitrogen dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2011-12,2011-12-01,18.16,No Message
550105,375,Nitrogen dioxide (NO2),Mean,ppb,CD,315,Sheepshead Bay (CD15),Summer 2017,2017-06-01,10.99,No Message
172102,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,105106107,South Bronx,Summer 2009,2009-06-01,24.57,No Message
336690,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408,Jamaica,Winter 2014-15,2014-12-01,23.94,No Message
741093,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408,Jamaica,Annual Average 2021,2021-01-01,15.2992962,No Message
741120,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,105106107,South Bronx,Annual Average 2021,2021-01-01,18.11753712,No Message
650056,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,413,Queens Village (CD13),Annual Average 2019,2019-01-01,6.03,No Message
823565,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,413,Queens Village (CD13),Annual Average 2022,2022-01-01,5.441903521,No Message
742315,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,206,Borough Park,Winter 2020-21,2020-12-01,6.651149578,No Message
173686,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,401,Long Island City - Astoria,Summer 2011,2011-06-01,12.33,No Message
742360,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,408,Jamaica,Winter 2020-21,2020-12-01,6.690577085,No Message
874805,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,313,Coney Island (CD13),Winter 2022-23,2022-12-01,5.764514434,No Message
669923,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,315,Sheepshead Bay (CD15),Winter 2019-20,2019-12-01,6.97,No Message
874811,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,315,Sheepshead Bay (CD15),Winter 2022-23,2022-12-01,5.783695731,No Message
606003,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,313,Coney Island (CD13),Summer 2018,2018-06-01,7.83,No Message
547713,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,315,Sheepshead Bay (CD15),Summer 2017,2017-06-01,8.25,No Message
742387,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,105106107,South Bronx,Winter 2020-21,2020-12-01,6.835494527,No Message
173176,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,401,Long Island City - Astoria,Winter 2010-11,2010-12-01,13.64,No Message
172739,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408,Jamaica,Annual Average 2013,2012-12-01,18.96,No Message
741119,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,105106107,South Bronx,Summer 2021,2021-06-01,14.46094161,No Message
825856,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,105106107,South Bronx,Winter 2021-22,2021-12-01,22.85584381,No Message
172229,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408,Jamaica,Summer 2013,2013-06-01,16.57,No Message
410890,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,206,Borough Park,Annual Average 2016,2015-12-31,7.45,No Message
742316,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,206,Borough Park,Summer 2021,2021-06-01,8.338108221,No Message
173720,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,401,Long Island City - Astoria,Summer 2012,2012-06-01,11.18,No Message
173754,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,401,Long Island City - Astoria,Summer 2013,2013-06-01,11.07,No Message
602902,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408,Jamaica,Winter 2017-18,2017-12-01,23.83,No Message
825854,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,105106107,South Bronx,Annual Average 2022,2022-01-01,17.25017525,No Message
602887,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,401,Long Island City - Astoria,Winter 2017-18,2017-12-01,27.14,No Message
643501,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,401,Long Island City - Astoria,Annual Average 2019,2019-01-01,20.24,No Message
211576,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408,Jamaica,Winter 2013-14,2013-12-01,26.89,No Message
643516,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408,Jamaica,Annual Average 2019,2019-01-01,15.51,No Message
825881,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408,Jamaica,Annual Average 2022,2022-01-01,14.86027012,No Message
177821,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,Summer 2010,2010-06-01,11.26,No Message
177870,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Summer 2011,2011-06-01,13.48,No Message
410828,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404,Bayside - Little Neck,Winter 2015-16,2015-12-01,7.37,No Message
